Time,NDVI,P,LST
2002-07-01,148.21253204345703,2.8902378082275386,23.61924457550049
2002-07-11,147.5470733642578,5.00215220451355,22.06348705291748
2002-07-21,148.39242553710938,2.245534300804138,23.35714340209961
2002-08-01,150.2705841064453,4.819199204444884,24.18493366241455
2002-08-11,151.64287567138672,4.720805168151856,24.18493366241455
2002-08-21,151.5780792236328,14.023176193237305,26.37012004852295
2002-09-01,148.34573364257812,31.71768569946289,25.553250312805176
2002-09-11,142.89090347290042,22.95347595214844,28.82820701599121
2002-09-21,136.65481948852542,21.385966300964355,25.61003971099853
2002-10-01,131.57686614990234,51.30971908569336,20.7551212310791
2002-10-11,126.6652374267578,58.300048828125,23.52308940887451
2002-10-21,123.56015014648438,55.35766983032226,22.49547481536865
2002-11-01,122.40423583984376,47.02113723754883,21.96012783050537
2002-11-11,121.61302947998048,41.90013694763184,20.27502155303955
2002-11-21,124.30940246582031,66.49509429931639,20.767586708068848
2002-12-01,127.88961029052734,93.40537643432616,22.748379707336426
2002-12-11,128.62714385986328,47.66445350646973,21.912487030029297
2002-12-21,127.1766471862793,84.0642318725586,17.898021697998047
2003-01-01,128.99415588378906,31.747751235961914,20.390275955200195
2003-01-11,132.59260177612305,21.07896137237549,23.78751087188721
2003-01-21,136.82254791259766,35.86564064025879,22.65437412261963
2003-02-01,138.99324035644528,29.301899909973145,26.04410552978516
2003-02-11,137.2897758483887,49.590599060058594,23.3832950592041
2003-02-21,134.41521453857422,32.115358352661126,24.51016330718994
2003-03-01,133.47847366333008,35.96427726745605,23.166826248168945
2003-03-11,134.37681579589844,32.508787155151374,22.03008270263672
2003-03-21,133.5767593383789,44.65646362304688,23.260231971740726
2003-04-01,131.98611450195312,65.73420333862305,22.59415340423584
2003-04-11,129.31313705444336,73.63099670410156,21.56678009033203
2003-04-21,126.37601852416992,65.44061851501465,20.7634334564209
2003-05-01,123.72039031982422,37.586041450500495,20.9376277923584
2003-05-11,121.91506958007812,47.04771995544434,20.91010284423828
2003-05-21,123.20600128173828,52.04656982421875,20.347468376159668
2003-06-01,127.38339233398438,11.957706451416016,20.8115348815918
2003-06-11,135.88030242919922,4.218982696533203,22.68761157989502
2003-06-21,145.07842254638672,9.319628715515137,20.82521724700928
2003-07-01,154.2837905883789,4.930049657821655,22.05335807800293
2003-07-11,158.0457305908203,2.083635151386261,22.89268493652344
2003-07-21,157.69888305664062,4.408990383148193,23.64013385772705
2003-08-01,154.6299819946289,12.85287857055664,24.981098175048828
2003-08-11,147.96566009521484,17.463119983673096,22.38218402862549
2003-08-21,140.30694198608398,19.017671585083008,23.54922294616699
2003-09-01,133.15786743164062,29.1746129989624,23.13757801055908
2003-09-11,129.34527206420898,43.44351387023926,23.232617378234863
2003-09-21,129.004150390625,46.22451400756836,21.9900541305542
2003-10-01,129.98235702514648,58.14709854125977,22.72012996673584
2003-10-11,131.19015121459958,69.85464668273926,19.531105995178226
2003-10-21,132.5305252075195,76.80278015136719,23.01546669006348
2003-11-01,133.89144134521484,68.06687164306639,21.130102157592773
2003-11-11,134.48747253417972,50.32032775878906,22.79496669769287
2003-11-21,135.3297119140625,59.3570556640625,20.323604583740234
2003-12-01,136.40385437011722,42.64356231689453,21.00007724761963
2003-12-11,139.1358413696289,38.238014221191406,20.21672248840332
2003-12-21,139.19424438476562,31.15280914306641,23.740833282470703
2004-01-01,136.343505859375,36.536848068237305,25.3248233795166
2004-01-11,131.84175872802734,58.70249366760254,22.64237689971924
2004-01-21,128.91102600097656,58.38515281677246,21.86992645263672
2004-02-01,125.83624267578124,38.33600997924805,22.117995262146
2004-02-11,122.49650955200195,37.71402931213379,21.745981216430664
2004-02-21,119.02284622192384,46.2885799407959,20.503461837768555
2004-03-01,116.48407363891602,45.96903419494629,23.23023223876953
2004-03-11,116.3287353515625,36.1861515045166,19.626941680908203
2004-03-21,118.55123901367188,71.05035972595216,22.21265316009521
2004-04-01,121.6444854736328,65.07142066955565,24.70339012145996
2004-04-11,124.46992111206056,86.14403533935547,19.250222206115726
2004-04-21,127.71621322631836,63.77391815185547,19.572580337524414
2004-05-01,132.95624542236328,29.150572776794434,24.10832118988037
2004-05-11,139.2930908203125,23.868685722351074,22.699997901916504
2004-05-21,145.95555114746094,30.16153717041016,21.691560745239254
2004-06-01,150.01109313964844,2.8706732988357544,21.191463470458984
2004-06-11,152.2809600830078,2.786849021911621,20.220823287963867
2004-06-21,153.7125473022461,2.516535878181457,22.98291015625
2004-07-01,153.7392578125,3.4616869688034058,23.151345252990726
2004-07-11,152.76939392089844,4.741096258163452,22.98268413543701
2004-07-21,151.8798599243164,8.267741918563843,23.07255554199219
2004-08-01,150.3552703857422,8.499115943908691,23.625158309936523
2004-08-11,147.2668914794922,13.606351375579836,22.61765480041504
2004-08-21,144.51128387451172,9.577017784118652,24.02848052978516
2004-09-01,142.48281860351562,39.58416938781738,20.585270881652832
2004-09-11,140.56453323364258,38.09008026123047,25.93596076965332
2004-09-21,140.9603729248047,43.992095947265625,23.23660659790039
2004-10-01,139.1807632446289,49.95427703857422,24.40673828125
2004-10-11,135.91888809204102,48.13292694091797,24.13602542877197
2004-10-21,132.91963958740234,52.73881149291992,23.48672199249268
2004-11-01,133.65800857543942,61.14753532409668,22.050071716308594
2004-11-11,136.11127471923828,58.80531692504883,22.99128150939941
2004-11-21,140.2272872924805,46.96007919311523,21.867944717407227
2004-12-01,142.3509979248047,50.93411827087402,19.747551918029785
2004-12-11,141.32967376708984,61.65417671203613,23.65999412536621
2004-12-21,138.08163452148438,61.800682067871094,21.48712921142578
