Time,NDVI,P,LST
2002-07-01,161.71923065185547,1.647705376148224,29.898393630981445
2002-07-11,162.06414794921875,1.3301809728145602,29.08302402496338
2002-07-21,161.63763427734375,0.8791411817073822,31.09866237640381
2002-08-01,161.17811584472656,3.508573055267334,32.004340171813965
2002-08-11,159.20453643798828,3.718287587165833,32.004340171813965
2002-08-21,157.54202270507812,10.777097463607788,31.93663692474365
2002-09-01,156.56756591796875,16.408951759338382,31.80625057220459
2002-09-11,155.99140167236328,13.789382934570312,31.916367530822754
2002-09-21,153.26378631591797,15.781763076782227,31.940011024475094
2002-10-01,147.1093521118164,34.797876358032234,32.52985382080078
2002-10-11,138.9652099609375,47.40393257141113,29.299853324890137
2002-10-21,134.06987762451172,36.05499458312988,27.15333747863769
2002-11-01,136.82613754272458,49.29456329345703,31.85001564025879
2002-11-11,143.24237442016604,37.49610137939453,23.64009761810303
2002-11-21,153.3304443359375,49.720961570739746,25.4658203125
2002-12-01,161.20660400390625,67.51263618469238,23.353229522705078
2002-12-11,167.2846450805664,40.574398994445794,27.264873504638672
2002-12-21,171.08306884765625,79.0863265991211,23.48204517364502
2003-01-01,174.13121032714844,31.27513599395752,24.97256183624268
2003-01-11,174.02973175048828,18.51390647888184,26.580020904541016
2003-01-21,172.35497283935547,32.574525833129876,28.256519317626953
2003-02-01,169.21834564208984,17.791658878326412,30.709455490112305
2003-02-11,165.6846694946289,51.14448165893555,26.02828598022461
2003-02-21,162.12731170654297,21.159798145294193,29.7464656829834
2003-03-01,159.42779541015625,27.734708786010746,29.690009117126465
2003-03-11,157.7461166381836,26.72208023071289,25.33005428314209
2003-03-21,159.75271606445312,39.900726318359375,24.256930351257324
2003-04-01,164.20721435546875,54.54231071472168,26.99044990539551
2003-04-11,168.4319839477539,88.40016555786133,26.544764518737797
2003-04-21,170.16168212890625,64.86293411254883,22.81991195678711
2003-05-01,168.7205581665039,41.449955940246575,25.15981483459473
2003-05-11,163.67056274414062,31.17738246917725,23.51342487335205
2003-05-21,160.12088775634766,46.28561782836914,20.96826267242432
2003-06-01,159.91092681884766,5.611343145370483,20.47605800628662
2003-06-11,162.21539306640625,1.9990441203117368,26.46741962432861
2003-06-21,165.87191009521484,5.57594108581543,26.87985134124756
2003-07-01,166.0212173461914,1.1018444299697876,28.03740406036377
2003-07-11,164.5743179321289,0.6668277680873871,30.51583957672119
2003-07-21,161.71578979492188,2.3738813400268555,30.568596839904785
2003-08-01,159.24246978759766,7.7692105770111075,33.531474113464355
