ADM2_CODE,ADM0_CODE,ADM0_NAME,ADM1_NAME,ADM1_CODE,ADM2_NAME,ZONE_ID,POLY_ID,POLY_NAME,WS_START,GS_START,xcoord,ycoord
"5141","226",Somalia,Bari,"2057",Iskushuban,"5608",226+2057+5141,Somalia+Bari+Iskushuban,"7","7",50.504243993972040,10.550335954998770
"5199","226",Somalia,Woqooyi Galbeed,"2071",Berbera,"5609",226+2071+5199,Somalia+Woqooyi Galbeed+Berbera,"7","7",45.284058886672256,10.358753724690914
"5128","226",Somalia,Awdal,"2054",Baki,"5610",226+2054+5128,Somalia+Awdal+Baki,"7","7",43.732011721021678,10.285267512974013
"5186","226",Somalia,Nugaal,"2067",Eyl,"5611",226+2067+5186,Somalia+Nugaal+Eyl,"7","7",49.564575264417492,8.090630563671050
"5181","226",Somalia,Mudug,"2066",Goldogob,"5612",226+2066+5181,Somalia+Mudug+Goldogob,"7","7",47.220596444635774,7.037999398371631
"5161","226",Somalia,Hiiraan,"2061",Jalalaqsi,"5613",226+2061+5161,Somalia+Hiiraan+Jalalaqsi,"7","7",45.609831754396303,3.401201407939697
"5179","226",Somalia,Middle Shabelle,"2065",Jowhar,"5614",226+2065+5179,Somalia+Middle Shabelle+Jowhar,"7","7",45.567107353542781,2.991795057501542
"5162","226",Somalia,Lower Juba,"2062",Afmadow,"5615",226+2062+5162,Somalia+Lower Juba+Afmadow,"7","7",41.783645044623867,0.589443739847314
"5174","226",Somalia,Middle Juba,"2064",Jilib,"5616",226+2064+5174,Somalia+Middle Juba+Jilib,"7","7",43.055458764305975,0.642968811613992
"5130","226",Somalia,Awdal,"2054",Lughaya,"5617",226+2054+5130,Somalia+Awdal+Lughaya,"7","7",43.578728056816594,10.647089198281931
"5140","226",Somalia,Bari,"2057",Caluula,"5618",226+2057+5140,Somalia+Bari+Caluula,"7","7",50.793043956371505,11.666791608796865
"5142","226",Somalia,Bari,"2057",Qandala,"5619",226+2057+5142,Somalia+Bari+Qandala,"7","7",50.087963349389774,11.058105029337055
"5131","226",Somalia,Awdal,"2054",Zeylac,"5620",226+2054+5131,Somalia+Awdal+Zeylac,"7","7",43.168865087137426,10.896616619670324
"5139","226",Somalia,Bari,"2057",Bosaaso,"5621",226+2057+5139,Somalia+Bari+Bosaaso,"7","7",49.398753150971416,10.920638902622692
"5188","226",Somalia,Sanaag,"2068",Badhan,"5622",226+2068+5188,Somalia+Sanaag+Badhan,"7","7",48.694488737357574,10.536442098969559
"5190","226",Somalia,Sanaag,"2068",Ceerigaabo,"5623",226+2068+5190,Somalia+Sanaag+Ceerigaabo,"7","7",47.806482710534723,10.289370928057792
"5189","226",Somalia,Sanaag,"2068",Ceel Afweyn,"5624",226+2068+5189,Somalia+Sanaag+Ceel Afweyn,"7","7",46.687368742909449,10.146970080743937
"5143","226",Somalia,Bari,"2057",Qardho,"5625",226+2057+5143,Somalia+Bari+Qardho,"7","7",49.506593068005444,9.501120549155555
"5129","226",Somalia,Awdal,"2054",Borama,"5626",226+2054+5129,Somalia+Awdal+Borama,"7","7",43.169740482768908,10.187492055952394
"5201","226",Somalia,Woqooyi Galbeed,"2071",Hargeysa,"5627",226+2071+5201,Somalia+Woqooyi Galbeed+Hargeysa,"7","7",44.280065377379842,9.521397084227964
"5200","226",Somalia,Woqooyi Galbeed,"2071",Gabiley,"5628",226+2071+5200,Somalia+Woqooyi Galbeed+Gabiley,"7","7",43.680385347992214,9.859141045624616
"5198","226",Somalia,Togdheer,"2070",Sheekh,"5629",226+2070+5198,Somalia+Togdheer+Sheekh,"7","7",45.428161791886723,9.991514585923621
"5195","226",Somalia,Togdheer,"2070",Burco,"5630",226+2070+5195,Somalia+Togdheer+Burco,"7","7",45.757676779505481,9.141065692479005
"5191","226",Somalia,Sool,"2069",Caynaba,"5631",226+2069+5191,Somalia+Sool+Caynaba,"7","7",46.489083490726905,9.281377342705463
"5197","226",Somalia,Togdheer,"2070",Oodweyne,"5632",226+2070+5197,Somalia+Togdheer+Oodweyne,"7","7",45.010027293929930,9.257089433597610
"5138","226",Somalia,Bari,"2057",Bandar Beyla,"5633",226+2057+5138,Somalia+Bari+Bandar Beyla,"7","7",50.328526947580443,9.229261014895400
"5193","226",Somalia,Sool,"2069",Talex,"5634",226+2069+5193,Somalia+Sool+Talex,"7","7",48.540175169972358,9.178455399611765
"5194","226",Somalia,Sool,"2069",Xudun,"5635",226+2069+5194,Somalia+Sool+Xudun,"7","7",47.506449471708699,9.140634277546797
"5187","226",Somalia,Nugaal,"2067",Garoowe,"5636",226+2067+5187,Somalia+Nugaal+Garoowe,"7","7",48.785342460064960,8.469330091471090
"5192","226",Somalia,Sool,"2069",Laas Caanood,"5637",226+2069+5192,Somalia+Sool+Laas Caanood,"7","7",47.635575917185342,8.437401556355773
"5196","226",Somalia,Togdheer,"2070",Buuhoodle,"5638",226+2070+5196,Somalia+Togdheer+Buuhoodle,"7","7",46.660348802557778,8.459745261102738
"5185","226",Somalia,Nugaal,"2067",Butinle,"5639",226+2067+5185,Somalia+Nugaal+Butinle,"7","7",48.398101996115152,7.801050469703723
"5149","226",Somalia,Galgaduud,"2059",Cadaado,"5640",226+2059+5149,Somalia+Galgaduud+Cadaado,"7","7",47.035719931801083,6.129412477855322
"5148","226",Somalia,Galgaduud,"2059",Cabudwaaq,"5641",226+2059+5148,Somalia+Galgaduud+Cabudwaaq,"7","7",46.123945643302946,5.824845649848772
