Time,SM,TMP,P,LST,NDVI,RefET
2002-07-01,0.16499099135398865,37.598487854003906,5.51023530960083,49.48951530456543,112.91439056396484,74.81648254394531
2002-07-11,0.16421233862638476,36.32243728637695,14.39279079437256,46.08746147155762,113.76559448242188,73.10750579833984
2002-07-21,0.25705572962760925,34.649856567382805,32.91283416748047,35.70526123046875,115.0168800354004,73.28661346435547
2002-08-01,0.2772905230522156,35.51072692871094,18.04070281982422,41.55264663696289,117.8994483947754,67.56675529479979
2002-08-11,0.25537647306919103,35.33598709106445,29.987091064453125,41.55264663696289,121.66700744628906,66.4284782409668
2002-08-21,0.2743600457906723,36.01773452758789,35.95139122009277,40.134708404541016,124.24188995361328,71.2672119140625
2002-09-01,0.2452216148376465,35.63538360595703,13.961948871612547,38.16075134277344,124.47200393676758,65.48841857910156
2002-09-11,0.23909059911966324,36.09566307067871,17.058624267578125,45.74141883850098,123.01898574829102,69.12867736816406
2002-09-21,0.2089129462838173,36.85397148132324,14.04142713546753,45.15941047668457,120.6248893737793,73.5404052734375
2002-10-01,0.22377170622348785,37.7160701751709,3.029460906982422,41.54202270507813,118.3411102294922,75.0710220336914
2002-10-11,0.1831929236650467,36.62863540649414,2.4423753023147583,45.45251083374024,116.92745971679688,72.39001846313477
2002-10-21,0.16685904562473294,35.24204063415527,2.472359299659729,44.44854545593262,116.29085159301758,81.45294189453125
2002-11-01,0.15659905970096588,36.13792419433594,0.5202065706253052,44.01842498779297,116.00575256347656,69.53062057495117
2002-11-11,0.15204397588968274,34.360349655151374,0.0,43.91156005859375,115.84901809692384,66.32559585571289
2002-11-21,0.14938569068908691,33.042116165161126,0.0,43.38389205932617,115.78438186645508,60.92959403991699
2002-12-01,0.14765284955501554,35.45096397399902,0.0,41.5840950012207,115.70111465454102,64.01250076293945
2002-12-11,0.14619697630405426,30.47230339050293,0.0,40.15469741821289,115.63640975952148,62.50736618041992
2002-12-21,0.14516663551330564,27.773337364196774,1.0369211850047577e-05,36.68876838684082,115.49584579467772,59.37277793884277
2003-01-01,0.14436931163072586,29.58410835266113,5.9067026086268015e-05,41.02417755126953,115.36233139038086,55.00495719909668
2003-01-11,0.14374274015426636,31.66139793395996,7.307706982828677e-05,44.54607391357422,115.35683059692384,60.88485336303711
2003-01-21,0.14317931979894638,34.151803970336914,6.642134394496678e-05,44.55694961547852,115.35229110717772,66.9064235687256
2003-02-01,0.14265837520360947,31.65000629425049,0.0,43.49886512756348,115.2844009399414,69.76585388183594
2003-02-11,0.14221065491437912,33.738500595092766,7.59013564675115e-05,47.2021541595459,115.13145065307616,66.58487510681152
2003-02-21,0.14185481518507004,33.35870742797852,0.01777215488255024,41.667707443237305,114.753173828125,63.81638526916504
2003-03-01,0.1415117084980011,35.19880676269531,0.04478416964411736,46.3633975982666,114.33765411376952,85.23458862304688
2003-03-11,0.14117053151130676,35.229427337646484,0.07686194032430649,44.90946006774902,114.15255737304688,83.84346389770508
2003-03-21,0.140873022377491,36.88703918457031,0.22102778404951096,45.44201469421387,114.10367202758788,88.8564453125
2003-04-01,0.14062892645597458,41.00564575195313,0.4211282879114151,52.67668151855469,114.02141571044922,81.89578628540039
2003-04-11,0.14114848524332047,39.25966835021973,0.5538343489170074,52.37935447692871,113.99731826782228,85.99956893920898
2003-04-21,0.14127954095602036,37.17751502990723,0.7226685881614685,49.67090225219727,114.19173812866212,90.22430419921876
2003-05-01,0.14098157733678818,38.56584548950195,1.5676101446151731,53.27031135559082,113.98266220092772,84.18918228149414
2003-05-11,0.1407727226614952,40.4200325012207,1.92621910572052,52.33748435974121,113.80356216430664,80.83436965942383
2003-05-21,0.1810854822397232,40.42271041870117,15.925432682037355,38.85690498352051,113.78530883789062,87.17719268798828
2003-06-01,0.21876728534698486,38.33376693725586,4.044865012168883,41.91792297363281,113.7059440612793,80.32647323608398
2003-06-11,0.18622642010450366,38.30659866333008,2.377837061882019,49.35056877136231,113.56668853759766,76.57815933227539
2003-06-21,0.2065020576119423,36.33217811584473,21.08816719055176,42.90555000305176,113.76820373535156,72.21656799316406
2003-07-01,0.2558717280626297,33.809030532836914,19.56355381011963,41.26101493835449,114.11264419555664,58.129188537597656
2003-07-11,0.24802124500274655,34.89267921447754,6.796983242034912,42.94393730163574,114.9500846862793,61.22972679138184
2003-07-21,0.2538687884807587,36.48275184631348,29.120261192321774,42.51622772216797,116.30973815917969,70.64998626708984
2003-08-01,0.2666993588209152,35.3084774017334,48.63363265991211,39.0236930847168,118.29476928710938,65.50825119018555
2003-08-11,0.2523935735225677,34.7009220123291,49.38898468017578,44.23285102844238,120.49895858764648,58.56299781799317
2003-08-21,0.31590427458286285,34.88105583190918,69.54704666137695,41.98683166503906,122.19076538085938,68.82096099853516
2003-09-01,0.2834343165159225,35.51913833618164,5.396690607070923,46.86961174011231,122.52052688598631,64.63057899475098
2003-09-11,0.2312672436237335,37.5039119720459,11.578492164611815,47.20827674865723,121.33839797973631,70.05849456787111
2003-09-21,0.1937767043709755,37.36447715759277,15.637606620788574,45.844993591308594,119.33913803100586,75.64155578613281
2003-10-01,0.21512095630168915,38.436973571777344,4.143501043319701,47.79813957214356,117.43830108642578,72.83859252929688
2003-10-11,0.20226268470287326,37.57080459594727,3.772457003593445,45.29514503479004,116.05904388427734,74.90331649780273
2003-10-21,0.18603705614805224,36.67068481445313,4.83802604675293,44.43264961242676,115.56805419921876,79.58456039428711
2003-11-01,0.16733311861753464,36.201887130737305,0.5202060937881471,45.81136322021485,115.63723373413086,71.8796157836914
